epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16883,1.09644,2.75113,1.47836,0.56598,0.85,0.84903,0.63234,1.65088,1.07617,1.38306,0,0,0
2,9.88721,1.16491,2.77836,1.47498,0.55715,0.85,0.88731,0.62032,1.66538,1.06462,1.38314,1.17822e-06,1.17822e-06,1.17822e-06
3,10.5711,1.09001,2.48725,1.21549,0.55849,0.85,0.8503,0.6164,1.67526,1.05069,1.38406,2.33288e-06,2.33288e-06,2.33288e-06
4,11.255,1.17021,2.76726,1.48615,0.55003,0.85,0.85731,0.62294,1.66472,1.04002,1.36689,3.46397e-06,3.46397e-06,3.46397e-06
5,11.9036,1.19821,2.3972,1.60826,0.54598,0.85,0.85871,0.62341,1.67396,1.04889,1.36668,4.5715e-06,4.5715e-06,4.5715e-06
